,method,fct_mean,fct_std,location,forecast_date,target_end_date,target,FIPS,cases,q_0.025,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.975,wis
2812739,ARIMA,818.9948687121432,115.35683403252486,12,2020-12-14,2020-12-19,1-step_ahead,12113,841.0,592.8996286378301,671.1591374614924,741.1878665421347,818.9948687121432,896.8018708821518,966.830599962794,1045.0901087864563,25.936564280793853
2812740,ARIMA,695.3706605293753,327.21613473383087,12,2020-12-07,2020-12-19,2-step_ahead,12113,841.0,54.03882129066096,276.02631078978146,474.66673155262635,695.3706605293753,916.0745895061244,1114.7150102689689,1336.7024997680894,85.4577417524404
2812741,ARIMA,328.7239450382249,331.8225695640567,12,2020-11-30,2020-12-19,3-step_ahead,12113,841.0,0.0,0.0,104.91302298354229,328.7239450382249,552.5348670929075,753.9716785460739,979.0842306413127,240.9746332828251
2812742,ARIMA,503.57361112391294,414.57773919179016,12,2020-11-23,2020-12-19,4-step_ahead,12113,841.0,0.0,0.0,223.94517537958612,503.57361112391294,783.2020468682398,1034.8763618250923,1316.1310487318613,143.63322224079226
2812743,PatchSim_adpt,965.0,62.959183673469326,12,2020-12-14,2020-12-19,1-step_ahead,12113,841.0,841.6022675039578,884.3145595978554,922.5346759315324,965.0,1007.4653240684676,1045.6854404021446,1088.397732496042,65.99746850651728
2812744,PatchSim_adpt,686.0,83.6734693877551,12,2020-12-07,2020-12-19,2-step_ahead,12113,841.0,522.0030135384852,578.7681343115743,629.5631025346137,686.0,742.4368974653862,793.2318656884257,849.9969864615148,80.48454515418345
2812745,PatchSim_adpt,813.0,153.72448979591834,12,2020-11-30,2020-12-19,3-step_ahead,12113,841.0,511.705536458205,615.9941394394958,709.3144072785309,813.0,916.6855927214692,1010.005860560504,1114.294463541795,34.373911899978616
2812746,PatchSim_adpt,1526.0,483.6734693877551,12,2020-11-23,2020-12-19,4-step_ahead,12113,841.0,578.0174197224636,906.147508093734,1199.767202456181,1526.0,1852.232797543819,2145.8524919062656,2473.9825802775367,314.54306763341555
2812747,ENKF,331.60760555156503,6.983043992193108,12,2020-11-23,2020-12-19,4-step_ahead,12113,841.0,317.9210908244077,322.6584745911032,326.89761395366247,331.60760555156503,336.31759714946764,340.55673651202693,345.2941202787224,502.9591117175434
2812748,ENKF,378.89354423551504,5.24350478034701,12,2020-11-30,2020-12-19,3-step_ahead,12113,841.0,368.6164637132714,372.1737224753208,375.3568540060669,378.89354423551504,382.4302344649632,385.61336599570916,389.1706247577588,457.2757617590533
