,method,fct_mean,fct_std,location,forecast_date,target_end_date,target,FIPS,cases,q_0.025,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.975,wis
1210539,ENKF,1657.72843900109,7.2454111252067985,36,2021-04-26,2021-05-22,4-step_ahead,36055,972.0,1643.5276941424988,1648.4430710305676,1652.8414834611813,1657.72843900109,1662.6153945409988,1667.0138069716131,1671.9291838596814,679.0534447833661
1210540,ENKF,1608.1731733769266,5.106789812401908,36,2021-05-03,2021-05-22,3-step_ahead,36055,972.0,1598.1640492680026,1601.6285588979356,1604.7286959920555,1608.1731733769266,1611.6176507617974,1614.7177878559173,1618.1822974858505,631.468431040039
1210541,ENKF,1441.891329159742,3.4687975916133,36,2021-05-10,2021-05-22,2-step_ahead,36055,972.0,1435.0926108105207,1437.4458861756527,1439.5516607386942,1441.891329159742,1444.23099758079,1446.3367721438315,1448.6900475089635,466.6956231512976
1210542,ENKF,1479.5313176743075,2.0475799200372737,36,2021-05-17,2021-05-22,1-step_ahead,36055,972.0,1475.518134775567,1476.907238422206,1478.1502460055347,1479.5313176743075,1480.9123893430801,1482.155396926409,1483.544500573048,505.64493967720153
1210543,lstm,1322.4026318359374,233.28150556319937,36,2021-04-26,2021-05-22,4-step_ahead,36055,972.0,865.1792826727864,1023.4403531688181,1165.0566474232492,1322.4026318359374,1479.7486162486255,1621.364910503057,1779.6259809990884,166.0071234022747
1210544,lstm,1383.033409423828,228.06523163239362,36,2021-05-03,2021-05-22,3-step_ahead,36055,972.0,936.0337692985516,1090.7560547790422,1229.2057483116835,1383.033409423828,1536.8610705359729,1675.310764068614,1830.0330495491046,211.1993689411237
1210545,lstm,1378.4318334960938,197.4340076115382,36,2021-05-10,2021-05-22,2-step_ahead,36055,972.0,991.4682892540719,1125.4099719497824,1245.2646190219764,1378.4318334960938,1511.5990479702116,1631.4536950424053,1765.3953777381155,224.5414153520856
1210546,lstm,1356.9839904785156,156.15457026079676,36,2021-05-17,2021-05-22,1-step_ahead,36055,972.0,1050.9266567460243,1156.8638564938472,1251.6593333913345,1356.9839904785156,1462.3086475656976,1557.104124463184,1663.0413242110067,241.1231611136036
1287084,AR_spatial,1416.017550025293,178.6460337487625,36,2021-05-10,2021-05-15,1-step_ahead,36055,1283.0,1065.8777578967918,1187.073445796233,1295.5226313485696,1416.017550025293,1536.5124687020166,1644.961654254353,1766.1573421537946,57.87847890051857
1287085,AR_spatial,1544.47131396302,172.22549855082107,36,2021-05-03,2021-05-15,2-step_ahead,36055,1283.0,1206.9155395839555,1323.755456668516,1428.306980468081,1544.47131396302,1660.635647457959,1765.1871712575241,1882.0270883420847,124.54320601240877
1287086,AR_spatial,1569.3824458102729,200.8241019566024,36,2021-04-26,2021-05-15,3-step_ahead,36055,1283.0,1175.7744387477326,1312.0160035487006,1433.9286474482114,1569.3824458102729,1704.836244172334,1826.7488880718447,1962.9904528728127,132.00470339672017
1287087,AR_spatial,1816.542266458816,211.179619629632,36,2021-04-19,2021-05-15,4-step_ahead,36055,1283.0,1402.6378177158695,1545.9046943113474,1674.1037775683221,1816.542266458816,1958.9807553493106,2087.1798386062837,2230.4467152017623,338.98840118195284
